neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,cleaning_fee,guests_included,extra_people,minimum_nights
51,14,0,10,1.0,3.0,4.0,3,10619.0,7000.0,2,4000.0,1
45,1,0,4,1.0,1.0,2.0,3,4270.0,6021.0,1,1642.0,1
46,16,0,4,1.0,1.0,2.0,3,4817.0,6500.0,2,3000.0,1
45,1,0,4,1.0,0.0,2.0,3,13247.0,0.0,2,2200.0,2
49,1,0,4,1.0,1.0,3.0,3,13137.0,5474.0,1,1642.0,1
18,14,2,2,1.0,1.0,2.0,3,3941.0,2000.0,2,1800.0,2
45,1,0,3,1.0,1.0,2.0,3,9962.0,6500.0,2,2000.0,2
45,1,0,6,0.5,2.0,3.0,3,18830.0,7000.0,6,5000.0,3
18,14,2,2,1.0,1.0,2.0,3,4598.0,2000.0,2,2000.0,3
43,1,0,8,1.0,2.0,5.0,3,35033.0,8000.0,3,5000.0,2
16,1,2,1,1.0,1.0,1.0,3,1752.0,1800.0,1,0.0,1
16,1,2,1,1.0,1.0,1.0,3,1752.0,1800.0,1,0.0,1
16,1,2,1,1.0,1.0,1.0,3,1752.0,1800.0,1,0.0,1
6,1,0,4,1.0,0.0,2.0,3,6350.0,8000.0,2,2500.0,2
18,14,2,2,1.0,1.0,2.0,3,5036.0,2000.0,2,2000.0,3
43,1,0,3,1.0,1.0,2.0,3,20034.0,6000.0,3,2000.0,1
4,1,0,4,1.0,1.0,2.0,3,12042.0,3500.0,4,3000.0,2
4,1,0,4,1.0,0.0,2.0,3,12042.0,3000.0,4,3000.0,2
45,7,0,6,1.5,1.0,6.0,3,35033.0,8000.0,6,0.0,2
27,14,2,3,1.0,1.0,2.0,3,3503.0,1000.0,1,1200.0,1
49,14,2,4,1.0,1.0,0.0,3,9962.0,2000.0,2,4000.0,1
49,1,0,5,1.0,2.0,0.0,3,10729.0,4500.0,2,3200.0,2
49,1,0,5,1.0,1.0,1.0,3,10072.0,4500.0,2,2800.0,2
51,14,0,12,1.0,3.0,5.0,3,17078.0,8000.0,2,4000.0,1
43,1,0,4,1.0,1.0,2.0,3,14013.0,5000.0,2,3000.0,2
47,1,0,3,1.0,1.0,2.0,3,7663.0,5474.0,2,1095.0,2
51,1,0,5,1.0,1.0,2.0,3,14123.0,9853.0,2,2190.0,2
3,1,0,8,1.0,2.0,4.0,3,8977.0,6500.0,3,2000.0,2
43,1,0,3,1.0,1.0,0.0,3,20034.0,6000.0,2,1200.0,1
49,14,2,6,2.0,1.0,6.0,3,5036.0,4000.0,1,3500.0,2
47,12,2,2,1.5,1.0,2.0,3,4489.0,2500.0,2,2500.0,1
18,14,2,4,0.5,1.0,4.0,3,3503.0,5000.0,1,2500.0,3
45,1,0,3,1.0,1.0,0.0,3,6240.0,5036.0,2,4379.0,1
43,1,0,2,1.0,1.0,1.0,3,9743.0,3284.0,2,0.0,2
43,1,0,7,2.0,2.0,4.0,3,25946.0,10000.0,4,3000.0,2
3,1,0,6,1.0,3.0,5.0,3,8977.0,6000.0,2,2000.0,2
46,1,0,2,1.0,0.0,2.0,3,8977.0,3500.0,1,1080.0,1
43,1,0,3,1.0,1.0,4.0,3,16641.0,7588.0,2,3111.0,2
7,14,2,2,1.0,1.0,2.0,3,5474.0,1000.0,1,4500.0,1
